"age";"job";"marital";"education";"default";"housing";"loan";"contact";"month";"day_of_week";"duration";"campaign";"pdays";"previous";"poutcome";"emp.var.rate";"cons.price.idx";"cons.conf.idx";"euribor3m";"nr.employed";"y"
59;"admin.";"divorced";"high.school";"no";"yes";"no";"cellular";"jul";"mon";86;3;999;0;"nonexistent";1.4;93.918;-42.7;4.962;5228.1;"no"
50;"blue-collar";"divorced";"basic.9y";"no";"no";"no";"telephone";"jun";"tue";137;2;999;0;"nonexistent";1.4;94.465;-41.8;4.864;5228.1;"no"
35;"technician";"single";"university.degree";"no";"yes";"no";"cellular";"aug";"thu";159;1;999;0;"nonexistent";1.4;93.444;-36.1;4.968;5228.1;"no"
31;"admin.";"married";"university.degree";"no";"yes";"no";"cellular";"nov";"tue";71;2;999;0;"nonexistent";-0.1;93.2;-42;4.153;5195.8;"no"
42;"technician";"single";"unknown";"no";"yes";"no";"cellular";"aug";"tue";158;1;999;1;"failure";-2.9;92.201;-31.4;0.884;5076.2;"no"
29;"blue-collar";"married";"professional.course";"no";"yes";"yes";"telephone";"may";"wed";260;1;999;0;"nonexistent";1.1;93.994;-36.4;4.859;5191;"no"
44;"management";"single";"high.school";"no";"no";"no";"cellular";"may";"mon";184;1;999;0;"nonexistent";-1.8;92.893;-46.2;1.244;5099.1;"no"
75;"retired";"married";"university.degree";"no";"yes";"no";"cellular";"jul";"thu";229;1;999;2;"failure";-1.7;94.215;-40.3;0.81;4991.6;"yes"
36;"unknown";"single";"basic.6y";"unknown";"yes";"no";"telephone";"may";"wed";660;1;999;0;"nonexistent";1.1;93.994;-36.4;4.858;5191;"no"
27;"services";"married";"high.school";"no";"no";"no";"telephone";"jun";"mon";257;2;999;0;"nonexistent";1.4;94.465;-41.8;4.961;5228.1;"no"
34;"admin.";"single";"university.degree";"no";"no";"no";"cellular";"jul";"tue";61;4;999;0;"nonexistent";1.4;93.918;-42.7;4.961;5228.1;"no"
54;"blue-collar";"married";"basic.4y";"no";"yes";"no";"cellular";"aug";"tue";153;1;999;0;"nonexistent";1.4;93.444;-36.1;4.963;5228.1;"no"
52;"management";"divorced";"university.degree";"no";"yes";"no";"telephone";"jun";"mon";80;3;999;0;"nonexistent";1.4;94.465;-41.8;4.961;5228.1;"no"
29;"unemployed";"single";"high.school";"no";"yes";"no";"cellular";"oct";"fri";168;2;999;0;"nonexistent";-1.1;94.601;-49.5;1.029;4963.6;"no"
37;"blue-collar";"single";"university.degree";"no";"yes";"no";"telephone";"may";"mon";492;9;999;0;"nonexistent";1.1;93.994;-36.4;4.858;5191;"no"
39;"blue-collar";"married";"basic.6y";"unknown";"yes";"no";"telephone";"jun";"thu";414;1;999;0;"nonexistent";1.4;94.465;-41.8;4.866;5228.1;"no"
43;"admin.";"married";"university.degree";"no";"no";"no";"cellular";"jul";"thu";48;4;999;0;"nonexistent";1.4;93.918;-42.7;4.962;5228.1;"no"
44;"technician";"divorced";"professional.course";"no";"yes";"yes";"telephone";"jul";"mon";90;11;999;0;"nonexistent";1.4;93.918;-42.7;4.962;5228.1;"no"
42;"admin.";"divorced";"university.degree";"no";"no";"no";"telephone";"jun";"wed";140;1;999;0;"nonexistent";1.4;94.465;-41.8;4.864;5228.1;"no"
55;"entrepreneur";"married";"professional.course";"no";"yes";"no";"cellular";"may";"tue";56;2;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
45;"technician";"divorced";"professional.course";"no";"yes";"yes";"cellular";"nov";"thu";705;1;999;0;"nonexistent";-0.1;93.2;-42;4.076;5195.8;"yes"
58;"services";"married";"high.school";"no";"no";"no";"cellular";"jul";"fri";134;1;999;0;"nonexistent";1.4;93.918;-42.7;4.962;5228.1;"no"
37;"admin.";"married";"high.school";"no";"yes";"yes";"telephone";"may";"fri";87;2;999;0;"nonexistent";1.1;93.994;-36.4;4.855;5191;"no"
